

Microchip MPLAB XC8 Assembler V2.46 build 20240104201356 
                                                                                               Tue May 07 09:24:59 2024

Microchip MPLAB XC8 C Compiler v2.46 (Free license) build 20240104201356 Og1 
     1                           	processor	16F677
     2                           	pagewidth 120
     3                           	opt	flic
     4                           	psect	cinit,global,class=CODE,merge=1,delta=2
     5                           	psect	bssBANK0,global,class=BANK0,space=1,delta=1,noexec
     6                           	psect	clrtext,global,class=CODE,delta=2
     7                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1,noexec
     8                           	psect	maintext,global,class=CODE,split=1,delta=2
     9                           	psect	text1,local,class=CODE,merge=1,delta=2
    10                           	psect	text2,local,class=CODE,merge=1,delta=2
    11                           	psect	text3,local,class=CODE,merge=1,delta=2
    12                           	psect	text4,local,class=CODE,merge=1,delta=2
    13                           	psect	intentry,global,class=CODE,delta=2
    14                           	psect	config,global,abs,ovrld,class=CONFIG,space=4,delta=2,noexec
    15                           	dabs	1,0x7E,2
    16     0000                     
    17                           ; Generated 12/10/2023 GMT
    18                           ; 
    19                           ; Copyright © 2023, Microchip Technology Inc. and its subsidiaries ("Microchip")
    20                           ; All rights reserved.
    21                           ; 
    22                           ; This software is developed by Microchip Technology Inc. and its subsidiaries ("Microch
      +                          ip").
    23                           ; 
    24                           ; Redistribution and use in source and binary forms, with or without modification, are
    25                           ; permitted provided that the following conditions are met:
    26                           ; 
    27                           ;     1. Redistributions of source code must retain the above copyright notice, this lis
      +                          t of
    28                           ;        conditions and the following disclaimer.
    29                           ; 
    30                           ;     2. Redistributions in binary form must reproduce the above copyright notice, this 
      +                          list
    31                           ;        of conditions and the following disclaimer in the documentation and/or other
    32                           ;        materials provided with the distribution. Publication is not required when
    33                           ;        this file is used in an embedded application.
    34                           ; 
    35                           ;     3. Microchip's name may not be used to endorse or promote products derived from th
      +                          is
    36                           ;        software without specific prior written permission.
    37                           ; 
    38                           ; THIS SOFTWARE IS PROVIDED BY MICROCHIP "AS IS" AND ANY EXPRESS OR IMPLIED WARRANTIES,
    39                           ; INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS F
      +                          OR
    40                           ; PURPOSE ARE DISCLAIMED.  IN NO EVENT SHALL MICROCHIP BE LIABLE FOR ANY DIRECT, INDIREC
      +                          T,
    41                           ; INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING BUT NOT LIMITED TO
    42                           ; PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES; LOSS OF USE, DATA OR PROFITS; OR BUSINESS
    43                           ; INTERRUPTION) HOWSOEVER CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, ST
      +                          RICT
    44                           ; LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR OTHERWISE) ARISING IN ANY WAY OUT OF THE U
      +                          SE OF
    45                           ; THIS SOFTWARE, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.
    46                           ; 
    47                           ; 
    48                           ; Code-generator required, PIC16F677 Definitions
    49                           ; 
    50                           ; SFR Addresses
    51     0000                     	;# 
    52     0001                     	;# 
    53     0002                     	;# 
    54     0003                     	;# 
    55     0004                     	;# 
    56     0005                     	;# 
    57     0006                     	;# 
    58     0007                     	;# 
    59     000A                     	;# 
    60     000B                     	;# 
    61     000C                     	;# 
    62     000D                     	;# 
    63     000E                     	;# 
    64     000E                     	;# 
    65     000F                     	;# 
    66     0010                     	;# 
    67     0013                     	;# 
    68     0014                     	;# 
    69     001E                     	;# 
    70     001F                     	;# 
    71     0081                     	;# 
    72     0085                     	;# 
    73     0086                     	;# 
    74     0087                     	;# 
    75     008C                     	;# 
    76     008D                     	;# 
    77     008E                     	;# 
    78     008F                     	;# 
    79     0090                     	;# 
    80     0093                     	;# 
    81     0093                     	;# 
    82     0093                     	;# 
    83     0094                     	;# 
    84     0095                     	;# 
    85     0095                     	;# 
    86     0096                     	;# 
    87     0096                     	;# 
    88     0097                     	;# 
    89     009E                     	;# 
    90     009F                     	;# 
    91     010C                     	;# 
    92     010C                     	;# 
    93     010D                     	;# 
    94     0115                     	;# 
    95     0116                     	;# 
    96     0118                     	;# 
    97     0119                     	;# 
    98     011A                     	;# 
    99     011B                     	;# 
   100     011E                     	;# 
   101     011F                     	;# 
   102     018C                     	;# 
   103     018D                     	;# 
   104     019E                     	;# 
   105     0000                     	;# 
   106     0001                     	;# 
   107     0002                     	;# 
   108     0003                     	;# 
   109     0004                     	;# 
   110     0005                     	;# 
   111     0006                     	;# 
   112     0007                     	;# 
   113     000A                     	;# 
   114     000B                     	;# 
   115     000C                     	;# 
   116     000D                     	;# 
   117     000E                     	;# 
   118     000E                     	;# 
   119     000F                     	;# 
   120     0010                     	;# 
   121     0013                     	;# 
   122     0014                     	;# 
   123     001E                     	;# 
   124     001F                     	;# 
   125     0081                     	;# 
   126     0085                     	;# 
   127     0086                     	;# 
   128     0087                     	;# 
   129     008C                     	;# 
   130     008D                     	;# 
   131     008E                     	;# 
   132     008F                     	;# 
   133     0090                     	;# 
   134     0093                     	;# 
   135     0093                     	;# 
   136     0093                     	;# 
   137     0094                     	;# 
   138     0095                     	;# 
   139     0095                     	;# 
   140     0096                     	;# 
   141     0096                     	;# 
   142     0097                     	;# 
   143     009E                     	;# 
   144     009F                     	;# 
   145     010C                     	;# 
   146     010C                     	;# 
   147     010D                     	;# 
   148     0115                     	;# 
   149     0116                     	;# 
   150     0118                     	;# 
   151     0119                     	;# 
   152     011A                     	;# 
   153     011B                     	;# 
   154     011E                     	;# 
   155     011F                     	;# 
   156     018C                     	;# 
   157     018D                     	;# 
   158     019E                     	;# 
   159     0000                     	;# 
   160     0001                     	;# 
   161     0002                     	;# 
   162     0003                     	;# 
   163     0004                     	;# 
   164     0005                     	;# 
   165     0006                     	;# 
   166     0007                     	;# 
   167     000A                     	;# 
   168     000B                     	;# 
   169     000C                     	;# 
   170     000D                     	;# 
   171     000E                     	;# 
   172     000E                     	;# 
   173     000F                     	;# 
   174     0010                     	;# 
   175     0013                     	;# 
   176     0014                     	;# 
   177     001E                     	;# 
   178     001F                     	;# 
   179     0081                     	;# 
   180     0085                     	;# 
   181     0086                     	;# 
   182     0087                     	;# 
   183     008C                     	;# 
   184     008D                     	;# 
   185     008E                     	;# 
   186     008F                     	;# 
   187     0090                     	;# 
   188     0093                     	;# 
   189     0093                     	;# 
   190     0093                     	;# 
   191     0094                     	;# 
   192     0095                     	;# 
   193     0095                     	;# 
   194     0096                     	;# 
   195     0096                     	;# 
   196     0097                     	;# 
   197     009E                     	;# 
   198     009F                     	;# 
   199     010C                     	;# 
   200     010C                     	;# 
   201     010D                     	;# 
   202     0115                     	;# 
   203     0116                     	;# 
   204     0118                     	;# 
   205     0119                     	;# 
   206     011A                     	;# 
   207     011B                     	;# 
   208     011E                     	;# 
   209     011F                     	;# 
   210     018C                     	;# 
   211     018D                     	;# 
   212     019E                     	;# 
   213     0000                     	;# 
   214     0001                     	;# 
   215     0002                     	;# 
   216     0003                     	;# 
   217     0004                     	;# 
   218     0005                     	;# 
   219     0006                     	;# 
   220     0007                     	;# 
   221     000A                     	;# 
   222     000B                     	;# 
   223     000C                     	;# 
   224     000D                     	;# 
   225     000E                     	;# 
   226     000E                     	;# 
   227     000F                     	;# 
   228     0010                     	;# 
   229     0013                     	;# 
   230     0014                     	;# 
   231     001E                     	;# 
   232     001F                     	;# 
   233     0081                     	;# 
   234     0085                     	;# 
   235     0086                     	;# 
   236     0087                     	;# 
   237     008C                     	;# 
   238     008D                     	;# 
   239     008E                     	;# 
   240     008F                     	;# 
   241     0090                     	;# 
   242     0093                     	;# 
   243     0093                     	;# 
   244     0093                     	;# 
   245     0094                     	;# 
   246     0095                     	;# 
   247     0095                     	;# 
   248     0096                     	;# 
   249     0096                     	;# 
   250     0097                     	;# 
   251     009E                     	;# 
   252     009F                     	;# 
   253     010C                     	;# 
   254     010C                     	;# 
   255     010D                     	;# 
   256     0115                     	;# 
   257     0116                     	;# 
   258     0118                     	;# 
   259     0119                     	;# 
   260     011A                     	;# 
   261     011B                     	;# 
   262     011E                     	;# 
   263     011F                     	;# 
   264     018C                     	;# 
   265     018D                     	;# 
   266     019E                     	;# 
   267     001E                     _ADRESH	set	30
   268     001F                     _ADCON0	set	31
   269     00F9                     _GO_DONE	set	249
   270     009E                     _ADRESL	set	158
   271     0085                     _TRISA	set	133
   272     009F                     _ADCON1	set	159
   273                           
   274                           	psect	cinit
   275     000B                     start_initialization:	
   276                           ; #config settings
   277                           
   278     000B                     __initialization:
   279                           
   280                           ; Clear objects allocated to BANK0
   281     000B  1383               	bcf	3,7	;select IRP bank0
   282     000C  3020               	movlw	low __pbssBANK0
   283     000D  0084               	movwf	4
   284     000E  3034               	movlw	low (__pbssBANK0+20)
   285     000F  201F               	fcall	clear_ram0
   286     0010                     end_of_initialization:	
   287                           ;End of C runtime variable initialization code
   288                           
   289     0010                     __end_of__initialization:
   290     0010  0183               	clrf	3
   291     0011  282E               	ljmp	_main	;jump to C main() function
   292                           
   293                           	psect	bssBANK0
   294     0020                     __pbssBANK0:
   295     0020                     _tensao:
   296     0020                     	ds	20
   297                           
   298                           	psect	clrtext
